task_id,correct,score,ground_truth,predicted,mean_entropy,n_tokens,wall_time_sec,traj_length
imo-bench-algebra-001,1,1.0,3,3,0.13819361206248312,18831,747.8020596504211,3
imo-bench-algebra-002,0,0.0,$\left\lfloor \log_{2}a\right\rfloor +1$.,\lfloor \frac{a}{2} \rfloor + 1,0.17678741765519018,28198,1158.0800693035126,3
imo-bench-algebra-003,0,0.0,"$g(x)=2x^{3}+c, g(x)=-2x^{3}+c$ ",g(x) = 2x^3+c \text{ or } g(x) = -2x^3+c \text{ for any } c \in \mathbb{R},0.1510992376865194,24419,1001.1422538757324,3
imo-bench-algebra-004,1,1.0,$2^{u-2}$,2^{u-2},0.15396837567437693,18114,716.2043147087097,3
imo-bench-algebra-005,0,0.0,8,5.,0.15059758707064438,32768,1338.7905685901642,3
imo-bench-algebra-006,1,1.0,"$P(x)=-1, P(x)=x+1$",P(x) = x+1 \text{ or } P(x) = -1,0.13207222846677805,20716,830.4918608665466,3
imo-bench-algebra-007,1,1.0,1012,1012,0.17265309421800215,14221,553.5565464496613,3
imo-bench-algebra-008,1,1.0,$-\frac{2023}{2024^2}$,-\frac{2023}{2024^2},0.18017676934067303,22536,912.1476328372955,3
imo-bench-algebra-009,0,0.0,$2\sqrt[3]{\frac{196}{13}}$,\frac{28}{\sqrt[3]{182}},0.1474897437270449,32696,1319.5105512142181,3
imo-bench-algebra-010,0,0.0,"$-\frac{2}{3},0,\frac{2}{3}$",2,0.06511827782848102,32768,1338.7961733341217,3
imo-bench-algebra-011,0,0.0,$2-2m$,-2(m-1),0.18163984085132312,23734,958.3390781879425,3
imo-bench-algebra-012,0,0.0,$\frac{1}{2}$,12,0.13177867070931987,32768,1211.907241821289,3
imo-bench-algebra-013,1,1.0,"$Q(x)=-2, Q(x)=2x-2$",Q(x) = -2 \text{ or } Q(x) = 2x - 2,0.15862320794372647,23141,899.9758508205414,3
imo-bench-algebra-014,0,0.0,$2025^2 a(a-1)$ ,in terms of $a$.,0.1458674015233538,32768,1185.905605316162,3
imo-bench-algebra-015,0,0.0,8109,3,0.12827752499615092,30194,1078.5068373680115,3
imo-bench-algebra-016,1,1.0,$\frac{1}{2}$,1/2,0.17029331672934844,29323,1027.7139575481415,3
imo-bench-algebra-017,0,0.0,"$(-\infty,0)\cup\{\frac{1}{2}\}$","(-\infty, -1/4]",0.17954515052564368,28108,953.1744918823242,3
imo-bench-algebra-018,0,0.0,"2026, 2030",2026,0.21492453486648372,20008,691.6330800056458,3
imo-bench-algebra-019,1,1.0,4151879777,4151879777,0.18334451604131025,14317,493.74719500541687,3
imo-bench-algebra-020,0,0.0,$P(x)=2x^{2}+c$,"P(x) = 2x^2 + n, \text{ where } n \in \mathbb{R}",0.15334018048846343,20204,693.1700088977814,3
imo-bench-algebra-021,1,1.0,-768,-768,0.18412251167233773,19466,652.0934617519379,3
imo-bench-algebra-022,1,1.0,1012,1012,0.1801367518508893,24665,824.7693274021149,3
imo-bench-algebra-023,0,0.0,2024,1,0.1640411279236854,32768,1150.681790113449,3
imo-bench-algebra-024,0,0.0,"$1,2,\ldots, 1235$","1, 2, \dots, 1234",0.17776522668146802,20255,676.3294525146484,3
imo-bench-algebra-025,0,0.0,"$A(x)=1-x, A(x)=1+2x, A(x)=1-x^{2}$","A(x) = 2x+1, \quad A(x) = 1-x, \quad A(x) = 1-x^2",0.16080595207686965,20510,746.5377168655396,3
imo-bench-algebra-026,0,0.0,1,11,0.10790743248923852,32768,1052.077989578247,3
imo-bench-algebra-027,0,0.0,"$(-\infty,-4)\cup (-4,-\frac{8}{3})$",4,0.02911598365580197,32768,1048.6900146007538,3
imo-bench-algebra-028,0,0.0,"$(-\infty , 0]$","a single value, then $p$ must be fixed.",0.16938002909564706,32768,1044.5938284397125,3
imo-bench-algebra-029,0,0.0,$g(x)=\frac{1}{3} ((2x)^a +(2x)^{-a})$ for some $a>0$,3,0.01654446099586611,32768,1048.0684542655945,3
imo-bench-algebra-030,0,0.0,603729,likely not 0.,0.20295288847864534,32768,1052.6891555786133,3
imo-bench-algebra-031,0,0.0,"$T(p,q,r)=0 if (p,q,r)=(0,0,0), p+q+r+\frac{9pqr}{4(p+q+r)} otherwise$","T(k,m,n) = k+m+n + \frac{9kmn}{4(k+m+n)}",0.116449987513232,32768,1039.6515855789185,3
imo-bench-algebra-032,0,0.0,16,2,0.20421617804622408,26207,813.447386264801,3
imo-bench-algebra-033,1,1.0,"$(4, 1, 2, 5, 134, 718240)$","(4, 1, 2, 5, 134, 718240)",0.1595696349659341,26883,1318.95800614357,3
imo-bench-algebra-034,0,0.0,"$P(x)=(cx+c^{2})/(1+c), Q(x)=cx+c^{2}$, where $c\ne -1$","P(x) = \frac{k}{1+k}x + \frac{k^2}{1+k}, \quad Q(x) = kx + k^2 \text{ for some } k \in \mathbb{R} \setminus \{-1\}",0.19337502646579965,17753,894.8792419433594,3
imo-bench-algebra-035,0,0.0,"$f(x)=-1, f(x)=2x^{2}+b x, f(x)=0$","f(n) = 0, \quad f(n) = -1, \quad f(n) = 2n^2 + bn \text{ for any } b \in \mathbb{R}",0.20346620650043512,10431,374.3024744987488,3
imo-bench-algebra-036,0,0.0,"$Y(x)=A+\frac{B}{x}-x$
",Y(x) = -x + k + \frac{c}{x},0.16298415542493402,18729,600.0368549823761,3
imo-bench-algebra-037,0,0.0,$X(y)=1+(u-1) \bar{y}$,X(z) = \beta \bar{z} + 1 \text{ for some } \beta \in \mathbb{C} \text{ with } |\beta| = 1,0.17794637955998435,28523,920.0485394001007,3
imo-bench-algebra-038,0,0.0,"all $(c,v)$ for which $c,v>1$ and $\frac{\log c}{\log v}\in\mathbb{Q}$
",2,0.05306651354505916,32768,1069.4934718608856,3
imo-bench-algebra-039,0,0.0,2,0,0.20678894378946977,17740,675.9964723587036,3
imo-bench-algebra-040,1,1.0,f(x)=x+1,G(x) = x+1,0.15277513859017935,23821,814.7427754402161,3
imo-bench-algebra-041,1,1.0,"$f(x,y)= g(x+y, xy(x-y)^{2})$ for some polynomial $g$","f(x,y) = P(x+y, (x^2 - 6xy + y^2)^2) \text{ for some } P \in \mathbb{C}[u,v]",0.18493126166372192,13465,436.7905259132385,3
imo-bench-algebra-042,1,1.0,$\frac{685}{176302}$,\frac{685}{176302},0.21168649014929974,25912,844.7310934066772,3
imo-bench-algebra-043,1,1.0,$\sqrt{2}-1$,\sqrt{2}-1,0.1736027827057834,14804,474.6266896724701,3
imo-bench-algebra-044,1,1.0,$\frac{9}{2}$,4.5,0.20187467948103147,14364,470.81055092811584,3
